100446	cappella S. Cipriano	base		6:213
100449	cappella S. Ciriaco	base		2:318
100509	cappella S. Cosma in piazza de Salito	base		1:230,234n
100518	cappella S. Cristoforo Maggiore	ref_to	101662 (cappella S. Maria delle Grazie a rua Francesca)	2:347,348
100519	cappella S. Cristoforo all'Olivella	base		4:314,318
100520	cappella S. Cristoforo in S. Maria la Nova	ref_to	100853 (cappella S. Giacomo della Marca)	2:12
100545	cappella S. Croce	base/ref_to	 100526 (cappella S. Croce alla Pietra del Pesce)	2:370; 2:94; 2:359,362
100526	cappella S. Croce alla Pietra del Pesce	base		2:359
100610	cappella S. Donato	ref_to/ref_to	102236 (cappella S. Renato) 300611 (chiesa SS. Marcellino e Festo)	2:113,115,127n; 2:374
100664	cappella S. Eligio	base		2:329,315
100662	cappella S. Eligio al Lavinaio	ref_to	101019 (cappella Immacolata Concezione e S. Gioacchino)	2:285
100656	cappella S. Eligio al Mercato	base		2:179,183
100673	cappella S. Eramo	base		3:385; 4:92
100678	cappella S. Erasmo	base/ref_to/ref_to	 100673 (cappella S. Eramo) 101032 (chiesa Immacolata del Terzo Ordine di S. Francesco)	1:472; 3:385,401; 3:
100675	cappella S. Erasmo a Rua Catalana	base		2:5
100694	cappella S. Felice	base		2:208n; 2:345n
100710	cappella S. Filippo Neri	base		7:547
100713	cappella S. Filippo dei Panettieri	ref_to	100961 (cappella S. Giuda Taddeo)	2:220,222,232
101489	cappella S. Fondaco di S. Maria del Rosario	base		4:133
100740	cappella S. Francesco de Meschinis	base		2:66,69,70
100765	cappella S. Francesco, nel chiostro di S. Diego all'Ospedaletto	base		2:470
100769	cappella S. Gaetano	base		1:427,439n
100774	cappella S. Gaudioso alla Sanità	base		5:241,260,265d,266d,268
100810	cappella S. Gennaro	base		4:416
100793	cappella S. Gennaro all'Infroscata	base		9:14,16,22,24,25,36
100796	cappella S. Gennaro de illi Castaldi	ref_to	100806 (cappella S. Gennaro in vico Sedil Capuano)	1:271
100806	cappella S. Gennaro in vico Sedil Capuano	base		1:271,272,277,286n
100819	cappella S. Geronimo	ref_to	101685 (cappella S. Maria delle Grazie dei Bianchi)	2:242
100839	cappella S. Giacomo Apostolo	ref_to	100961 (cappella S. Giuda Taddeo)	2:220,232,234n
100852	cappella S. Giacomo dei Bozzuti	ref_to	102028 (chiesa S. Patrizia)	1:427,439n
100853	cappella S. Giacomo della Marca	base		2:4,12,13,15,16,23n; 3:3
100863	cappella S. Gioacchino	ref_to/ref_to	101019 (cappella Immacolata Concezione e S. Gioacchino) 100588 (chiesa S. Diego all'Ospedaletto)	2:285; 2:469
100891	cappella S. Giovanni Battista	ref_to/ref_to	102252 (conservatorio S. Rosa dell'Arte della Lana) 102236 (cappella S. Renato)	2:371; 2:113,127n
100881	cappella S. Giovanni Battista a Portanova	base		2:382
